Weight,Temp,PA,TO Climb Rate,MCP Climb Rate,OEI Climb Rate
3935,50,7000,733,733,-90
3935,50,8000,658,658,-135
3935,50,9000,582,582,-179
3935,50,10000,507,507,-223
3935,50,11000,431,431,-268
3935,50,12000,355,355,-312
3935,50,13000,279,279,-356
3935,50,14000,204,204,-401
3935,50,15000,128,128,-445
3935,50,16000,52,52,-490
3935,50,17000,-24,-24,-534
3935,50,18000,-101,-101,-579
3500,-35,0,1789,1521,527
3500,-35,1000,1713,1521,481
3500,-35,2000,1636,1521,435
3500,-35,3000,1559,1521,389
3500,-35,4000,1482,1482,343
3500,-35,5000,1404,1404,297
3500,-35,6000,1326,1326,250
3500,-35,7000,1248,1248,204
3500,-35,8000,1169,1169,157
3500,-35,9000,1090,1090,110
3500,-35,10000,1011,1011,63
3500,-35,11000,931,931,18
3500,-35,12000,851,851,-31
3500,-35,13000,771,771,-78
3500,-35,14000,691,691,-125
3500,-35,15000,610,610,-173
3500,-35,16000,529,529,-221
3500,-35,17000,448,448,-268
3500,-35,18000,366,366,-316
3500,-30,0,1771,1501,513
3500,-30,1000,1694,1501,468
3500,-30,2000,1617,1501,422
3500,-30,3000,1540,1501,375
3500,-30,4000,1482,1462,329
3500,-30,5000,1384,1384,283
3500,-30,6000,1305,1305,236
3500,-30,7000,1226,1226,189
3500,-30,8000,1147,1147,142
3500,-30,9000,1068,1068,95
3500,-30,10000,988,988,48
3500,-30,11000,908,908,1
3500,-30,12000,828,828,-46
3500,-30,13000,748,748,-94
3500,-30,14000,667,667,-141
3500,-30,15000,586,586,-189
3500,-30,16000,505,505,-236
3500,-30,17000,423,423,-284
3500,-30,18000,341,341,-332
3500,-25,0,1725,1481,500
3500,-25,1000,1676,1481,454
3500,-25,2000,1598,1481,408
3500,-25,3000,1520,1481,362
3500,-25,4000,1442,1442,315
3500,-25,5000,1363,1363,268
3500,-25,6000,1284,1284,222
3500,-25,7000,1205,1205,175
3500,-25,8000,1126,1126,128
3500,-25,9000,1046,1046,81
3500,-25,10000,966,966,33
3500,-25,11000,886,886,-14
3500,-25,12000,805,805,-61
3500,-25,13000,724,724,-109
3500,-25,14000,643,646,-156
3500,-25,15000,562,562,-204
3500,-25,16000,480,480,-252
3500,-25,17000,399,399,-300
3500,-25,18000,317,317,-348
3500,-20,0,1735,1461,487
3500,-20,1000,1657,1461,441
3500,-20,2000,1579,1461,394
3500,-20,3000,1500,1461,348
3500,-20,4000,1422,1422,301
3500,-20,5000,1343,1343,254
3500,-20,6000,1264,1264,207
3500,-20,7000,1184,1184,160
3500,-20,8000,1104,1104,113
3500,-20,9000,1024,1024,66
3500,-20,10000,944,944,19
3500,-20,11000,863,863,-29
3500,-20,12000,782,782,-76
3500,-20,13000,701,701,-124
3500,-20,14000,620,620,-172
3500,-20,15000,538,538,-219
3500,-20,16000,457,457,-267
3500,-20,17000,375,375,-315
3500,-20,18000,293,293,-363
3500,-15,0,1716,1441,474
3500,-15,1000,1638,1441,427
3500,-15,2000,1560,1441,381
3500,-15,3000,1481,1441,334
3500,-15,4000,1402,1402,287
3500,-15,5000,1322,1322,240
3500,-15,6000,1243,1243,193
3500,-15,7000,1163,1163,146
3500,-15,8000,1083,1083,99
3500,-15,9000,1002,1002,51
3500,-15,10000,922,922,4
3500,-15,11000,841,841,-44
3500,-15,12000,759,759,-91
3500,-15,13000,678,678,-139
3500,-15,14000,597,597,-187
3500,-15,15000,515,515,-235
3500,-15,16000,433,433,-282
3500,-15,17000,351,351,-330
3500,-15,18000,268,268,-378
3500,-10,0,1698,1422,461
3500,-10,1000,1619,1422,414
3500,-10,2000,1540,1422,367
3500,-10,3000,1461,1422,320
3500,-10,4000,1382,1382,273
3500,-10,5000,1302,1302,226
3500,-10,6000,1222,1222,179
3500,-10,7000,1142,1142,132
3500,-10,8000,1061,1061,85
3500,-10,9000,981,981,37
3500,-10,10000,900,900,-11
3500,-10,11000,818,818,-58
3500,-10,12000,737,737,-106
3500,-10,13000,655,655,-154
3500,-10,14000,574,574,-202
3500,-10,15000,492,492,-249
3500,-10,16000,409,409,-297
3500,-10,17000,327,327,-375
3500,-10,18000,245,245,-393
3500,-5,0,1679,1402,448
3500,-5,1000,1600,1402,401
3500,-5,2000,1521,1402,354
3500,-5,3000,1442,1402,307
3500,-5,4000,1362,1362,260
3500,-5,5000,1282,1282,213
3500,-5,6000,1201,1201,165
3500,-5,7000,1121,1121,118
3500,-5,8000,1040,1040,70
3500,-5,9000,959,959,23
3500,-5,10000,878,878,-25
3500,-5,11000,796,796,-73
3500,-5,12000,715,715,-120
3500,-5,13000,633,633,-168
3500,-5,14000,551,551,-216
3500,-5,15000,469,469,-264
3500,-5,16000,386,386,-312
3500,-5,17000,304,304,-360
3500,-5,18000,221,221,-408
3500,0,0,1661,1382,435
3500,0,1000,1582,1382,388
3500,0,2000,1502,1382,341
3500,0,3000,1422,1382,294
3500,0,4000,1342,1342,246
3500,0,5000,1262,1262,199
3500,0,6000,1181,1181,152
3500,0,7000,1100,1100,104
3500,0,8000,1019,1019,56
3500,0,9000,938,938,9
3500,0,10000,856,856,-39
3500,0,11000,774,774,-87
3500,0,12000,692,692,-135
3500,0,13000,610,610,-183
3500,0,14000,528,528,-231
3500,0,15000,446,446,-279
3500,0,16000,363,363,-327
3500,0,17000,281,281,-375
3500,0,18000,198,198,-423
3500,5,0,1643,1362,422
3500,5,1000,1563,1362,375
3500,5,2000,1483,1362,328
3500,5,3000,1403,1362,280
3500,5,4000,1322,1322,233
3500,5,5000,1241,1241,185
3500,5,6000,1160,1160,138
3500,5,7000,1079,1079,90
3500,5,8000,998,998,43
3500,5,9000,916,916,-5
3500,5,10000,835,835,-53
3500,5,11000,753,753,-101
3500,5,12000,670,670,-149
3500,5,13000,588,588,-197
3500,5,14000,506,506,-245
3500,5,15000,423,423,-293
3500,5,16000,341,341,-341
3500,5,17000,258,258,-389
3500,5,18000,175,175,-437
3500,10,0,1624,1343,409
3500,10,1000,1544,1343,362
3500,10,2000,1464,1343,315
3500,10,3000,1383,1343,267
3500,10,4000,1302,1302,220
3500,10,5000,1221,1221,172
3500,10,6000,1140,1140,124
3500,10,7000,1059,1059,77
3500,10,8000,977,977,29
3500,10,9000,895,895,-19
3500,10,10000,813,813,-67
3500,10,11000,731,731,-115
3500,10,12000,649,649,-163
3500,10,13000,566,566,-211
3500,10,14000,484,484,-259
3500,10,15000,401,401,-307
3500,10,16000,318,318,-355
3500,10,17000,235,235,-403
3500,10,18000,152,152,-452
3500,15,0,1606,1323,396
3500,15,1000,1525,1323,349
3500,15,2000,1445,1323,302
3500,15,3000,1364,1323,254
3500,15,4000,1283,1283,206
3500,15,5000,1201,1201,159
3500,15,6000,1120,1120,111
3500,15,7000,1038,1038,63
3500,15,8000,956,956,15
3500,15,9000,874,874,-33
3500,15,10000,792,792,-81
3500,15,11000,710,710,-129
3500,15,12000,627,627,-177
3500,15,13000,544,544,-225
3500,15,14000,462,462,-273
3500,15,15000,379,379,-321
3500,15,16000,296,296,-369
3500,15,17000,213,213,-417
3500,15,18000,130,130,-466
3500,20,0,1587,1304,384
3500,20,1000,1506,1304,336
3500,20,2000,1426,1304,289
3500,20,3000,1344,1304,241
3500,20,4000,1263,1263,193
3500,20,5000,1181,1181,146
3500,20,6000,1100,1100,98
3500,20,7000,1018,1018,50
3500,20,8000,936,936,2
3500,20,9000,853,853,-46
3500,20,10000,771,771,-94
3500,20,11000,688,688,-142
3500,20,12000,606,606,-190
3500,20,13000,523,523,-239
3500,20,14000,440,440,-287
3500,20,15000,357,357,-335
3500,20,16000,274,274,-383
3500,20,17000,191,191,-431
3500,20,18000,107,107,-479
3500,25,0,1569,1284,371
3500,25,1000,1488,1284,324
3500,25,2000,1407,1284,276
3500,25,3000,1325,1284,228
3500,25,4000,1243,1243,180
3500,25,5000,1162,1162,133
3500,25,6000,1080,1080,85
3500,25,7000,997,997,37
3500,25,8000,915,915,-11
3500,25,9000,833,833,-60
3500,25,10000,750,750,-108
3500,25,11000,667,667,-156
3500,25,12000,584,584,-204
3500,25,13000,501,501,-252
3500,25,14000,418,418,-300
3500,25,15000,335,335,-349
3500,25,16000,252,252,-397
3500,25,17000,169,169,-445
3500,25,18000,85,85,-493
3500,30,0,1550,1265,359
3500,30,1000,1469,1265,311
3500,30,2000,1388,1265,263
3500,30,3000,1306,1265,215
3500,30,4000,1224,1224,168
3500,30,5000,1142,1142,120
3500,30,6000,1060,1060,72
3500,30,7000,977,977,24
3500,30,8000,895,895,-25
3500,30,9000,812,812,-73
3500,30,10000,729,729,-121
3500,30,11000,646,646,-169
3500,30,12000,563,563,-217
3500,30,13000,480,480,-266
3500,30,14000,397,397,-314
3500,30,15000,314,314,-362
3500,30,16000,230,230,-410
3500,30,17000,147,147,-458
3500,30,18000,64,64,-507
3500,35,0,1532,1246,346
3500,35,1000,1450,1246,299
3500,35,2000,1369,1246,251
3500,35,3000,1287,1246,203
3500,35,4000,1205,1205,155
3500,35,5000,1122,1122,107
3500,35,6000,1040,1040,59
3500,35,7000,957,957,11
3500,35,8000,874,874,-38
3500,35,9000,792,792,-86
3500,35,10000,709,709,-134
3500,35,11000,626,626,-182
3500,35,12000,542,542,-231
3500,35,13000,459,459,-279
3500,35,14000,376,376,-327
3500,35,15000,293,293,-375
3500,35,16000,209,209,-424
3500,35,17000,126,126,-472
3500,35,18000,42,42,-520
3500,40,0,1514,1226,334
3500,40,1000,1432,1226,286
3500,40,2000,1350,1226,238
3500,40,3000,1268,1226,190
3500,40,4000,1185,1185,142
3500,40,5000,1103,1103,94
3500,40,6000,1020,1020,46
3500,40,7000,937,937,-2
3500,40,8000,854,854,-51
3500,40,9000,771,771,-99
3500,40,10000,688,688,-147
3500,40,11000,605,605,-195
3500,40,12000,522,522,-244
3500,40,13000,438,438,-292
3500,40,14000,355,355,-340
3500,40,15000,271,271,-388
3500,40,16000,188,188,-437
3500,40,17000,104,104,-485
3500,40,18000,21,21,-533
3500,45,0,1469,1207,322
3500,45,1000,1413,1207,274
3500,45,2000,1331,1207,226
3500,45,3000,1249,1207,178
3500,45,4000,1166,1166,130
3500,45,5000,1083,1083,81
3500,45,6000,1001,1001,33
3500,45,7000,918,918,-15
3500,45,8000,834,834,-63
3500,45,9000,751,751,-112
3500,45,10000,668,668,-160
3500,45,11000,585,585,-208
3500,45,12000,501,501,-256
3500,45,13000,418,418,-305
3500,45,14000,334,334,-353
3500,45,15000,251,251,-401
3500,45,16000,167,167,-450
3500,45,17000,83,83,-498
3500,45,18000,0,0,-546
3500,50,0,1477,1188,310
3500,50,1000,1395,1188,262
3500,50,2000,1312,1188,214
3500,50,3000,1230,1188,165
3500,50,4000,1147,1147,117
3500,50,5000,1064,1064,69
3500,50,6000,981,981,21
3500,50,7000,898,898,-28
3500,50,8000,815,815,-76
3500,50,9000,731,731,-124
3500,50,10000,648,648,-173
3500,50,11000,564,564,-221
3500,50,12000,481,481,-269
3500,50,13000,397,397,-318
3500,50,14000,314,314,-366
3500,50,15000,230,230,-414
3500,50,16000,146,146,-462
3500,50,17000,63,63,-511
3500,50,18000,-21,-21,-559
3000,-35,0,2153,1844,680
3000,-35,1000,2065,1844,628
3000,-35,2000,1977,1844,576
3000,-35,3000,1888,1844,523
3000,-35,4000,1799,1799,471
